Name,RA,Dec,Extent,AB_Mag,Filter
today,skinakas,6deg,2.0,18deg,Moon
J0002+6216,00:02:58.17,+62:16:09.4,P,20.0,r'
J0006+1834,00:06:04.8,+18:34:59,P,20.0,r'
J0007+7303,00:07:01.7,+73:03:07.4,P,20.0,r'
J0011+08,00:11:34,+08:10:00,P,20.0,r'
J0014+4746,00:14:17.75,+47:46:33.4,P,20.0,r'
J0023+0923,00:23:16.88,+09:23:23.8652,P,20.0,r'
J0024-7201Z,00:24:06.04,-72:05:01.480,P,20.0,r'
J2330-2005,23:30:26.89,-20:05:29.63,P,20.0,r'
J2333+6145,23:33:19.45,+61:45:30.09,P,20.0,r'
J2337+6151,23:37:05.76,+61:51:01.53,P,20.0,r'
J2339-0533,23:39:38.74,-05:33:05.32,P,20.0,r'
J2340+08,23:40:45,+08:33:00,P,20.0,r'
J2343+6221,23:43:00,+62:21:00,P,20.0,r'
J2346-0609,23:46:50.45,-06:09:59.5,P,20.0,r'
J2352+65,23:52:00,+65:00:00,P,20.0,r'
J2353+85,23:54:00,+85:34:00,P,20.0,r'
J2354+6155,23:54:04.72,+61:55:46.79,P,20.0,r'
PG0231+051,02:33:41.36,+05:18:43.65,P,16.0,r'
G67.8+0.5,20:00:02,+30:50:35,7.2x5.4,10.015,r'
